@relation dataset-weka.filters.unsupervised.attribute.AddValues-C11-L4

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 {0,1,2,3,4}

@data
67,'2018/02/22 12:59:05:609',1,0.495907,0.464929,0.517545,0,?,?,0,?
68,'2018/02/22 12:59:05:609',1,0.495915,0.464947,0.517542,0,?,?,0,?
69,'2018/02/22 12:59:05:609',1,0.495909,0.46493,0.51752,0,?,?,0,?
70,'2018/02/22 12:59:05:609',1,0.495909,0.464905,0.517607,0,?,?,0,?
71,'2018/02/22 12:59:05:609',1,0.495907,0.464904,0.517631,0,?,?,0,?
72,'2018/02/22 12:59:05:617',1,0.495907,0.464904,0.517631,0,?,?,0,?
73,'2018/02/22 12:59:05:639',1,0.495909,0.464905,0.517607,0,?,?,0,?
74,'2018/02/22 12:59:05:783',1,0.495907,0.464904,0.517631,0,?,?,0,?
75,'2018/02/22 12:59:05:784',1,0.495909,0.464905,0.517607,0,?,?,0,?
76,'2018/02/22 12:59:05:784',1,0.495917,0.464923,0.517604,0,?,?,0,?
77,'2018/02/22 12:59:05:784',1,0.495901,0.464911,0.517523,0,?,?,0,?
78,'2018/02/22 12:59:05:784',1,0.495904,0.46491,0.517505,0,?,?,0,?
79,'2018/02/22 12:59:05:808',1,0.495879,0.464894,0.517659,0,?,?,0,?
80,'2018/02/22 12:59:05:960',1,0.495878,0.464896,0.517654,0,?,?,0,?
81,'2018/02/22 12:59:05:960',1,0.495878,0.464896,0.517654,0,?,?,0,?
82,'2018/02/22 12:59:05:960',1,0.495878,0.464896,0.517654,0,?,?,0,?
83,'2018/02/22 12:59:05:960',1,0.495878,0.464896,0.517654,0,?,?,0,?
84,'2018/02/22 12:59:05:960',1,0.495879,0.464894,0.517659,0,?,?,0,?
85,'2018/02/22 12:59:05:961',1,0.495879,0.464894,0.517659,0,?,?,0,?
86,'2018/02/22 12:59:05:972',1,0.495879,0.464894,0.517659,0,?,?,0,?
87,'2018/02/22 12:59:06:135',1,0.495879,0.464894,0.517659,0,?,?,0,?
88,'2018/02/22 12:59:06:135',1,0.495878,0.464896,0.517654,0,?,?,0,?
89,'2018/02/22 12:59:06:135',1,0.495878,0.464896,0.517654,0,?,?,0,?
90,'2018/02/22 12:59:06:136',1,0.495879,0.464894,0.517659,0,?,?,0,?
91,'2018/02/22 12:59:06:136',1,0.495887,0.464912,0.517657,0,?,?,0,?
92,'2018/02/22 12:59:06:136',1,0.495878,0.464896,0.517654,0,?,?,0,?
93,'2018/02/22 12:59:06:158',1,0.495878,0.464896,0.517654,0,?,?,0,?
94,'2018/02/22 12:59:06:176',1,0.495878,0.464896,0.517654,0,?,?,0,?
95,'2018/02/22 12:59:06:609',1,0.495878,0.464896,0.517654,0,?,?,0,?
96,'2018/02/22 12:59:06:611',1,0.495884,0.464913,0.517675,0,?,?,0,?
97,'2018/02/22 12:59:06:612',1,0.495888,0.464894,0.517569,0,?,?,0,?
98,'2018/02/22 12:59:06:613',1,0.495888,0.464894,0.517569,0,?,?,0,?
99,'2018/02/22 12:59:06:614',1,0.49587,0.464902,0.51757,0,?,?,0,?
100,'2018/02/22 12:59:06:615',1,0.495868,0.464902,0.517594,0,?,?,0,?
101,'2018/02/22 12:59:06:616',1,0.49587,0.464902,0.51757,0,?,?,0,?
102,'2018/02/22 12:59:06:617',1,0.495878,0.46492,0.517567,0,?,?,0,?
103,'2018/02/22 12:59:06:618',1,0.495876,0.46492,0.517591,0,?,?,0,?
104,'2018/02/22 12:59:06:619',1,0.495878,0.46492,0.517567,0,?,?,0,?
105,'2018/02/22 12:59:06:620',1,0.495876,0.46492,0.517591,0,?,?,0,?
106,'2018/02/22 12:59:06:620',1,0.495878,0.46492,0.517567,0,?,?,0,?
107,'2018/02/22 12:59:06:620',1,0.495876,0.46492,0.517591,0,?,?,0,?
108,'2018/02/22 12:59:06:621',1,0.49587,0.464927,0.517483,0,?,?,0,?
109,'2018/02/22 12:59:06:621',1,0.495842,0.464891,0.517598,0,?,?,0,?
110,'2018/02/22 12:59:06:622',1,0.495842,0.464891,0.517598,0,?,?,0,?
111,'2018/02/22 12:59:15:523',2,0.502493,0.489021,0.61631,4,?,?,100,?
112,'2018/02/22 12:59:15:560',2,0.502493,0.489021,0.61631,0,?,?,100,?
113,'2018/02/22 12:59:15:568',2,0.502493,0.489021,0.61631,0,?,?,100,?
114,'2018/02/22 12:59:15:590',2,0.50248,0.489007,0.616311,0,?,?,100,?
115,'2018/02/22 12:59:15:616',2,0.502481,0.489006,0.616313,0,?,?,100,?
116,'2018/02/22 12:59:15:642',2,0.502463,0.489047,0.616336,0,?,?,100,?
117,'2018/02/22 12:59:15:679',2,0.502464,0.489047,0.616338,0,?,?,100,?
118,'2018/02/22 12:59:15:706',2,0.502438,0.489045,0.616287,0,?,?,100,?
119,'2018/02/22 12:59:15:716',2,0.502438,0.489045,0.616287,0,?,?,100,?
120,'2018/02/22 12:59:15:744',2,0.502432,0.489072,0.616416,0,?,?,100,?
121,'2018/02/22 12:59:15:776',2,0.502403,0.489098,0.61639,0,?,?,100,?
122,'2018/02/22 12:59:15:810',2,0.502403,0.489098,0.61639,0,?,?,100,?
123,'2018/02/22 12:59:15:819',2,0.502403,0.489098,0.61639,0,?,?,100,?
124,'2018/02/22 12:59:15:846',2,0.502403,0.489098,0.61639,0,?,?,100,?
125,'2018/02/22 12:59:15:881',2,0.502403,0.489098,0.61639,0,?,?,100,?
126,'2018/02/22 12:59:15:913',2,0.502403,0.489098,0.61639,0,?,?,100,?
127,'2018/02/22 12:59:15:923',2,0.502403,0.489098,0.61639,0,?,?,100,?
128,'2018/02/22 12:59:15:949',2,0.502349,0.489095,0.616365,0,?,?,100,?
129,'2018/02/22 12:59:15:974',2,0.502349,0.489095,0.616365,0,?,?,100,?
130,'2018/02/22 12:59:15:999',2,0.502349,0.489095,0.616365,0,?,?,100,?
131,'2018/02/22 12:59:16:024',2,0.502349,0.489095,0.616365,0,?,?,100,?
132,'2018/02/22 12:59:16:050',2,0.502349,0.489095,0.616365,0,?,?,100,?
133,'2018/02/22 12:59:16:075',2,0.502349,0.489095,0.616365,0,?,?,100,?
134,'2018/02/22 12:59:16:101',2,0.502349,0.489095,0.616365,0,?,?,100,?
135,'2018/02/22 12:59:16:127',2,0.502362,0.48911,0.616365,0,?,?,100,?
136,'2018/02/22 12:59:16:153',2,0.502362,0.48911,0.616365,0,?,?,100,?
137,'2018/02/22 12:59:16:179',2,0.502348,0.489123,0.616365,0,?,?,100,?
138,'2018/02/22 12:59:16:204',2,0.502362,0.48911,0.616365,0,?,?,100,?
139,'2018/02/22 12:59:16:231',2,0.502349,0.489095,0.616365,0,?,?,100,?
